School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations,City 1_lat,City 1_lon,City 2_lat,City 2_lon,City 3_lat,City 3_lon
Virginia,ACC,71.42,14.35,"Washington, DC",100,102.0,46.41,25.0,46.3,0.517,51.7,91,92.5,26.7,129.63,45.34,15.65,5.17,52.06,30.25,13.47,5.17,11.0,65.84,PARTIAL,"179,574","Washington, DC","Charlottesville, VA","New York City, NY",Business Development,,,,38.8920621,-77.0199124,38.0310605,-78.4742794,40.7130466,-74.0072301
Virginia Tech,ACC,95.19,-3.85,"Washington, DC",191,54.6,28.42,57.5,61.5,0.596,59.6,86,76.5,49.2,126.13,67.51,11.95,1.8,44.78,38.43,9.91,4.84,14.0,98.49,PARTIAL,"226,871","Washington, DC","Blacksburg, VA",,Engineering,Misc Assemblers ,"50,182","98,998",38.8920621,-77.0199124,37.2257798,-80.4101197,,
Arizona,Big 12,82.28,-1.79,"Tuscon, AZ",137,195.0,23.91,,45.7,0.557,55.7,67,94.4,,,,,,,,,,,84.73,NO,"253,316","Tuscon, AZ","Phoenix, AZ",,Education,General and Operations Manager,"87,310","933,263",32.221878,-110.971225,33.448204,-112.0725848,,
Arizona State,Big 12,101.58,14.97,"Phoenix, AZ",186,53.4,20.16,,54.8,0.597,59.7,67,58.0,,,,,,,,,,,85.24,NO,"669,386","Phoenix, AZ","Los Angeles, CA",,Operations ,,,,33.448204,-112.0725848,34.052238,-118.243344,,
Cincinnati,Big 12,94.65,-3.22,"Cincinnati, OH",131,62.4,13.23,,62.8,0.519,51.9,72,82.5,,,,,,,,,,,98.08,NO,"206,125","Cincinnati, OH","Columbus, OH",,Operations ,Fast food and Counter Workers,,,39.12711,-84.51439,39.962762,-82.996291,,
Colorado,Big 12,100.57,3.17,"Denver, CO",1100,53.4,19.62,,37.8,0.567,56.7,77,61.3,,,,,,,,,,,100.16,NO,"232,923","Denver, CO","Boulder, CO",,Business Development,,,,39.738453,-104.984853,40.016871,-105.279624,,
Iowa State,Big 12,98.96,2.77,"Des Moines, IA",126,89.0,29.66,,45.1,0.506,50.6,68,94.2,,,,,,,,,,,94.92,NO,"183,495","Des Moines, IA","Ames, IA",,Operations ,,,,41.588822,-93.620309,42.026802,-93.620181,,
Kansas,Big 12,95.07,7.12,"Kansas City, KS",147,325.0,28.84,,34.7,0.565,56.5,70,104.3,,,,,,,,,,,104.93,NO,"173,540","Kansas City, KS","Lawrence, KS",,Business Development,General and Operations Manager,"69,958","516,032",39.1127,-94.626804,38.9731544,-95.2382481,,
Kansas State,Big 12,103.55,3.61,"Kansas City, KS",113,69.1,29.27,,58.6,0.529,52.9,65,75.2,,,,,,,,,,,103.09,NO,"152,708","Kansas City, KS","Manhattan, KS",,Business Development,General and Operations Manager,"69,958","516,032",39.1127,-94.626804,39.1866876,-96.5665999,,
Oklahoma State,Big 12,85.39,-16.88,"Tulsa, OK",176,57.0,43.05,,63.3,0.571,57.1,65,53.6,,,,,,,,,,,101.23,NO,"178,368","Tulsa, OK","Oklahoma City, OK",,Business Development,Fast food and Counter Workers,"70,459","1,059,803",36.155327,-95.992083,35.468494,-97.521264,,
Texas Tech,Big 12,99.86,9.03,"Dallas Fort-Worth, TX",258,134.0,39.27,,57.9,0.516,51.6,66,87.7,,,,,,,,,,,96.51,NO,"205,412","Dallas Fort-Worth, TX","Lubbock, TX",,Business Development,General and Operations Manager,"93,360","8,340,000",32.587554,-97.198856,33.5836884,-101.8549534,,
UCF,Big 12,98.2,1.99,"Orlando, FL",206,67.2,14.8,,56.4,0.483,48.3,61,63.1,,,,,,,,,,,96.47,NO,"317,653","Orlando, FL","Miami, FL",,Operations ,Retail Salesperson,"74,568","2,940,000",28.538331,-81.378879,25.775084,-80.194702,,
Utah,Big 12,100.5,16.32,"Salt Lake CIty, UT",216,42.2,31.16,,68.9,0.597,59.7,75,49.8,,,,,,,,,,,102.44,NO,"178,724","Salt Lake City, UT",,,Business Development,,,,40.758478,-111.888142,,,,
West Virginia,Big 12,87.23,5.32,"Morgantown, WV",233,110.0,21.61,50.0,61.6,0.591,59.1,65,82.0,22.6,102.07,44.81,9.96,3.78,57.31,23.14,10.67,4.73,18.0,84.89,PARTIAL,"160,683","Morgan Town, WV",Washington DC,,Operations ,Registered Nurses,"44,727","30,236",39.6298107,-79.955946,38.8920621,-77.0199124,,
Illinois,Big Ten,96.18,32.96,"Chicago, IL",172,178.0,44.72,,39.6,0.507,50.7,80,96.2,,,,,,,,,,,83.34,NO,"391,377","Chicago, IL","Urbana, IL","Champaign, IL",,Registered Nurses,,,41.883229,-87.632398,40.112458,-88.207457,40.116328,-88.243522
Indiana,Big Ten,97.26,12.23,"Indianapolis, IN",297,194.0,35.3,,42.7,0.497,49.7,75,92.3,,,,,,,,,,,88.99,NO,283092,"Indianapolis, IN","Bloomington, IN","Chicago, IL",,Misc Assemblers ,,,39.76845,-86.156212,39.166587,-86.534893,41.883229,-87.632398
Iowa,Big Ten,100.0,1.81,"Cedar Rapids, IA",261,124.0,40.5,,65.2,0.547,54.7,70,72.3,,,,,,,,,,,100.0,NO,170721,"Cedar Rapids, IA","Iowa City, IA","Chicago, IL",,Registered Nurses,,,41.9780542,-91.6698616,41.6612397,-91.5301283,41.883229,-87.632398
Maryland,Big Ten,88.26,10.67,"Washington, DC",125,108.0,10.34,,46.0,0.516,51.6,84,75.1,,,,,,,,,,,69.65,NO,325688,"Washington, DC","Baltimore, MD",,,General  and Operations Managers,,,38.8920621,-77.0199124,39.290443,-76.612333,,
Michigan,Big Ten,103.3,0.58,"Detroit, MI",861,318.0,44.11,82.0,68.0,0.732,73.2,96,93.7,31.7,212.84,141.09,21.0,0.83,91.65,64.13,12.83,5.46,24.0,102.53,PARTIAL,390211,"Detroit, MI","New York City, NY",,,"Teaching assistants, Postsecondary",,,42.3329407,-83.0478365,40.7130466,-74.0072301,,
Michigan State,Big Ten,94.02,2.75,"Detroit, MI",332,295.0,45.16,,58.2,0.588,58.8,74,100.0,,,,,,,,,,,89.99,NO,348892,"Detroit, MI","Lancing, MI",,,Fast food and Counter Workers,,,42.3329407,-83.0478365,42.733625,-84.553927,,
